timestamp,event,detail
2025-10-17T11:26:11,ALERT,Yawning
2025-10-17T11:26:19,ALERT,Yawning
2025-10-17 21:42:25,Head Down,CLOSED,NORMAL,DOWN,0.283,0.002,0.77
2025-10-17 21:42:25,Eyes Closed,CLOSED,NORMAL,DOWN,0.280,0.002,0.77
2025-10-17 21:42:26,Head Down,CLOSED,NORMAL,DOWN,0.263,0.002,0.77
2025-10-17 21:42:27,Eyes Closed,CLOSED,NORMAL,DOWN,0.225,0.002,0.76
2025-10-17 21:42:27,Head Down,CLOSED,NORMAL,DOWN,0.275,0.003,0.76
2025-10-17 21:42:28,Eyes Closed,CLOSED,NORMAL,DOWN,0.277,0.003,0.77
2025-10-17 21:42:29,Head Down,CLOSED,NORMAL,DOWN,0.288,0.002,0.77
2025-10-17 21:42:30,Eyes Closed,CLOSED,NORMAL,DOWN,0.278,0.002,0.76
2025-10-17 21:42:30,Head Down,CLOSED,NORMAL,DOWN,0.279,0.002,0.76
2025-10-17 21:42:31,Head Down,CLOSED,NORMAL,DOWN,0.275,0.002,0.76
2025-10-17 21:42:31,Eyes Closed,CLOSED,NORMAL,DOWN,0.274,0.002,0.76
2025-10-17 21:42:32,Head Down,CLOSED,NORMAL,DOWN,0.274,0.002,0.75
2025-10-17 21:42:33,Eyes Closed,CLOSED,NORMAL,DOWN,0.267,0.002,0.75
2025-10-17 21:42:33,Head Down,CLOSED,NORMAL,DOWN,0.258,0.002,0.76
2025-10-17 21:42:34,Eyes Closed,CLOSED,NORMAL,DOWN,0.291,0.002,0.76
2025-10-17 21:42:35,Head Down,CLOSED,NORMAL,DOWN,0.280,0.002,0.77
2025-10-17 21:42:36,Eyes Closed,CLOSED,NORMAL,DOWN,0.213,0.003,0.77
2025-10-17 21:42:36,Head Down,CLOSED,NORMAL,DOWN,0.227,0.003,0.77
2025-10-17 21:42:37,Head Down,CLOSED,NORMAL,DOWN,0.261,0.003,0.78
2025-10-17 21:42:37,Eyes Closed,CLOSED,NORMAL,DOWN,0.280,0.003,0.79
2025-10-17 21:42:38,Head Down,CLOSED,NORMAL,DOWN,0.275,0.004,0.79
2025-10-17 21:42:39,Eyes Closed,CLOSED,NORMAL,DOWN,0.274,0.004,0.78
2025-10-17 21:42:39,Head Down,CLOSED,NORMAL,DOWN,0.263,0.003,0.77
2025-10-17 21:42:40,Eyes Closed,CLOSED,NORMAL,DOWN,0.250,0.002,0.78
2025-10-17 21:42:41,Head Down,CLOSED,NORMAL,DOWN,0.256,0.003,0.79
2025-10-17 21:42:42,Eyes Closed,CLOSED,NORMAL,DOWN,0.219,0.004,0.81
2025-10-17 21:42:42,Head Down,CLOSED,NORMAL,DOWN,0.207,0.004,0.81
2025-10-17 21:42:43,Head Down,CLOSED,NORMAL,DOWN,0.272,0.003,0.80
2025-10-17 21:42:43,Eyes Closed,CLOSED,NORMAL,DOWN,0.279,0.003,0.78
2025-10-17 21:42:44,Head Down,CLOSED,NORMAL,DOWN,0.158,0.887,0.57
2025-10-17 21:42:45,Eyes Closed,CLOSED,NORMAL,DOWN,0.133,0.999,0.54
2025-10-17 21:42:45,Yawning,CLOSED,YAWN,DOWN,0.134,1.004,0.54
2025-10-17 21:42:45,Head Down,CLOSED,NORMAL,DOWN,0.134,1.238,0.54
2025-10-17 21:42:46,Yawning,CLOSED,YAWN,DOWN,0.122,1.238,0.53
2025-10-17 21:42:46,Eyes Closed,CLOSED,NORMAL,DOWN,0.138,1.180,0.54
2025-10-17 21:42:47,Head Down,CLOSED,NORMAL,DOWN,0.144,1.141,0.54
2025-10-17 21:42:47,Yawning,CLOSED,YAWN,DOWN,0.149,1.130,0.54
2025-10-17 21:42:48,Eyes Closed,CLOSED,NORMAL,DOWN,0.158,1.036,0.54
2025-10-17 21:42:48,Yawning,CLOSED,YAWN,DOWN,0.161,1.034,0.54
2025-10-17 21:42:48,Head Down,CLOSED,NORMAL,DOWN,0.164,1.034,0.54
2025-10-17 21:42:49,Yawning,CLOSED,YAWN,DOWN,0.152,0.987,0.54
2025-10-17 21:42:49,Head Down,CLOSED,NORMAL,DOWN,0.159,0.995,0.54
2025-10-17 21:42:49,Eyes Closed,CLOSED,NORMAL,DOWN,0.162,0.985,0.54
2025-10-17 21:42:50,Yawning,CLOSED,YAWN,DOWN,0.167,1.021,0.54
2025-10-17 21:42:50,Head Down,CLOSED,NORMAL,DOWN,0.176,1.010,0.54
